ID,PIN,Address,Managing Organization,Property Status,Date of Acquisition,Date of Disposition,Sq. Ft.,Ward,Community Area Number,Community Area Name,Zoning Classification,Zip Code,Last Update,X Coordinate,Y Coordinate,Latitude,Longitude,Location
59430,20-04-223-047-0000,4156 S WENTWORTH AVE,DPD - Real Estate,Owned by City,,,,3,37,FULLER PARK,RS-3,,4/2/2019,1175544.513,1877166.516,41.8183179,-87.6315549,"(41.818317851689294, -87.63155485898665)"
8965,16-11-116-005-0000,645 N LAWNDALE AVE,None,Owned by City,6/7/1994,,0,27,23,HUMBOLDT PARK,RT-4,60624,9/9/2020,1151695.05,1904241.26,41.8931154,-87.7183318,"(41.8931153693229, -87.71833184422952)"
9319,16-12-310-008-0000,2943 W FULTON ST,DPD - Real Estate,Owned by City,1/28/1999,,0,27,27,EAST GARFIELD PARK,RT-4,60612,6/29/2020,1156551.19,1901735.96,41.8861437,-87.7005648,"(41.88614369233632, -87.70056482994943)"
51314,20-05-104-006-0000,1530 W 41ST ST,None,Owned by City,10/4/2017,,11287,11,61,NEW CITY,PMD 8,0,9/9/2020,1166694.343,1877530.515,41.8195105,-87.6640098,"(41.81951046416958, -87.66400979202385)"
8966,16-11-116-006-0000,643 N LAWNDALE AVE,None,Owned by City,,,0,27,23,HUMBOLDT PARK,RT-4,60624,9/9/2020,1151695.81,1904216.15,41.8930465,-87.7183297,"(41.893046450323155, -87.71832971324253)"
14845,20-03-401-018-0000,4341 S VINCENNES AVE,None,Owned by City,11/2/1999,,0,3,38,GRAND BOULEVARD,RM-5,60653,9/9/2020,1180421.387,1876169.948,41.8154725,-87.6136956,"(41.815472499323306, -87.61369563553556)"
50636,20-03-304-024-0000,321 E 43RD ST,None,Owned by City,3/19/1991,,0,3,38,GRAND BOULEVARD,RM-5,60653,4/3/2019,1179053.9,1876488.021,41.8163766,-87.6187021,"(41.8163766334327, -87.61870206287337)"
58754,16-13-330-026-0000,2840 W ROOSEVELT RD,DPD - Real Estate,Owned by City,7/31/1979,,0,28,29,NORTH LAWNDALE,C1-3,60612,9/11/2020,1157417.55,1894693.32,41.8668004,-87.6975749,"(41.866800422156345, -87.6975749179872)"
7630,13-33-408-002-0000,,DPD - Planning,Owned by City,,,0,,,,,0,9/11/2020,0,0,0,0,"(0.0, 0.0)"
36769,13-33-408-038-0000,,DPD - Planning,Owned by City,,,0,,,,,0,9/11/2020,0,0,0,0,"(0.0, 0.0)"
66253,13-33-404-017-0000,1815 N LARAMIE AVE,DPD - Planning,Owned by City,10/9/1998,,,37,25,AUSTIN,RS-3,,9/11/2020,1141657.158,1912054.148,41.9147463,-87.7550043,"(41.91474634604349, -87.75500425526441)"
23725,25-02-417-010-0000,1537 E 93RD ST,DPD - Real Estate,Owned by City,3/21/2006,,0,8,48,CALUMET HEIGHTS,RS-3,60619,9/11/2020,1188003.18,1843522.08,41.7257064,-87.586924,"(41.725706383562894, -87.58692403957762)"
10847,16-13-330-025-0000,2844 W ROOSEVELT RD,DPD - Real Estate,Owned by City,1/20/2000,,0,28,29,NORTH LAWNDALE,C1-3,60612,9/11/2020,1157392.56,1894692.77,41.8667994,-87.6976667,"(41.86679942055632, -87.69766667447352)"
59292,20-19-112-040-0000,6442 S HOYNE AVE,DPD - Real Estate,Owned by City,8/31/2017,,,16,67,WEST ENGLEWOOD,RS-3,,9/11/2020,1163378.563,1861726.26,41.7762119,-87.6766164,"(41.77621185383964, -87.67661635744655)"
12210,17-19-110-008-0000,1319 S HEATH AVE,None,Owned by City,3/9/1995,,0,28,28,NEAR WEST SIDE,RS-3,60608,9/15/2020,1161094.79,1893788.22,41.8642412,-87.6841004,"(41.864241216809084, -87.68410044442108)"
37246,20-04-416-005-0000,4441 S PRINCETON AVE,None,Owned by City,11/24/2003,,0,3,37,FULLER PARK,RS-3,60609,5/22/2018,1175127.96,1875362.81,41.8133776,-87.6331368,"(41.81337764451457, -87.63313681958729)"
58927,16-11-402-007-0000,3348 W CARROLL AVE,None,Owned by City,11/9/1989,,0,28,27,EAST GARFIELD PARK,RT-4,60624,3/5/2019,1153804.41,1902309.375,41.8877723,-87.7106364,"(41.8877723363835, -87.71063639907658)"
19783,20-28-321-007-0000,7819 S HALSTED ST,None,Owned by City,3/6/2001,,0,17,71,AUBURN GRESHAM,B1-3,60620,5/22/2018,1172416.77,1852916.41,41.7518424,-87.6437419,"(41.7518423711684, -87.64374186755518)"
36567,20-04-416-010-0000,4453 S PRINCETON AVE,None,Owned by City,,,0,3,37,FULLER PARK,RS-3,60609,5/22/2018,1175131.53,1875242.87,41.8130484,-87.6331273,"(41.813048438212284, -87.63312730987549)"
14930,20-04-403-007-0000,4317 S WELLS ST,None,Owned by City,,,0,3,37,FULLER PARK,RS-3,60609,8/1/2018,1175429.025,1876256.97,41.8158246,-87.6320057,"(41.8158245637727, -87.63200573569542)"
66651,16-23-306-008-0000,1623 S LAWNDALE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1152066.22,1891533.16,41.8582357,-87.7173036,"(41.85823565057371, -87.7173036466623)"
36466,20-16-202-011-0000,5543 S PRINCETON AVE,DPD - Real Estate,Owned by City,1/10/2006,,0,3,68,ENGLEWOOD,RS-3,60621,9/11/2020,1175315.344,1868738.04,41.7951944,-87.6326476,"(41.795194444830734, -87.63264758893801)"
36770,13-33-408-039-0000,,DPD - Planning,Owned by City,,,0,,,,,0,9/11/2020,0,0,0,0,"(0.0, 0.0)"
58975,13-33-408-036-0000,5148 W BLOOMINGDALE AVE,DPD - Planning,Owned by City,10/9/1998,,0,37,25,AUSTIN,RS-3,60639,9/11/2020,1141725.67,1911575.36,41.9134312,-87.7547644,"(41.91343123071465, -87.75476441348845)"
59295,20-19-424-033-0000,7020 S WINCHESTER AVE,DPD - Real Estate,Owned by City,2/24/2017,,,17,67,WEST ENGLEWOOD,RS-3,,9/11/2020,1164474.594,1858000.42,41.7659646,-87.6727033,"(41.765964606853245, -87.67270328905327)"
66446,17-20-119-020-0000,,Obsolete PIN,Owned by City,,,,,,,,,6/28/2019,,,,,
36568,20-04-415-029-0000,4460 S PRINCETON AVE,None,Owned by City,,,0,3,37,FULLER PARK,RS-3,60609,8/1/2018,1174948.868,1875165.715,41.8128408,-87.6337996,"(41.81284080045319, -87.63379962002227)"
66548,16-23-216-014-0000,1445 S ST LOUIS AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153374.453,1892572.44,41.8610617,-87.712474,"(41.8610616960766, -87.71247399092927)"
66544,16-23-214-026-0000,1440 S DRAKE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1152848.81,1892631.39,41.8612339,-87.714402,"(41.86123387620326, -87.71440196971687)"
66556,16-23-402-025-0000,1610 S TRUMBULL AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153541.26,1891668.36,41.8585775,-87.7118857,"(41.85857748570837, -87.71188569789466)"
58617,16-23-117-035-0000,1446 S HAMLIN AVE,None,Owned by City,7/23/1985,,0,24,29,NORTH LAWNDALE,RT-4,60623,8/1/2018,1151188.805,1892611.07,41.8612108,-87.7204961,"(41.86121079171423, -87.7204960926674)"
14993,20-04-406-023-0000,4334 S SHIELDS AVE,None,Owned by City,,,0,3,37,FULLER PARK,RS-3,60609,8/1/2018,1174609.931,1876060.571,41.8153039,-87.6350162,"(41.815303932680386, -87.63501616899315)"
66505,16-23-214-027-0000,1442 S DRAKE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1152849.768,1892598.035,41.8611423,-87.7143993,"(41.86114232746276, -87.71439933719451)"
66538,16-23-129-021-0000,1500 S CENTRAL PARK AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1152523.053,1892414.415,41.8606449,-87.7156035,"(41.86064490866259, -87.71560349784802)"
66510,16-23-223-001-0000,1501 S DRAKE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153046.054,1892424.026,41.8606609,-87.7136834,"(41.860660942601115, -87.7136834145669)"
13446,16-23-215-009-0000,1431 S DRAKE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,9/30/2020,1153034.69,1892818.71,41.8617442,-87.7137147,"(41.861744224118794, -87.71371467486428)"
58451,16-23-126-013-0000,1547 S HAMLIN AVE,None,Owned by City,12/16/1974,,0,24,29,NORTH LAWNDALE,RT-4,60623,8/1/2018,1151399.154,1891951.49,41.8593967,-87.7197412,"(41.85939670415875, -87.719741242343)"
13674,16-25-128-013-0000,2831 W 25TH PL,DPD - Real Estate,Owned by City,3/15/1995,,0,12,30,SOUTH LAWNDALE,RT-4,60623,9/30/2020,1157774.3,1886859.71,41.8452969,-87.6964785,"(41.84529689720863, -87.6964785432201)"
61761,16-23-308-021-0000,1802 S HARDING AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1150242.735,1891017.86,41.8568573,-87.7240105,"(41.8568573121705, -87.72401045920554)"
58918,16-23-118-012-0000,1459 S HAMLIN AVE,None,Owned by City,1/6/1989,,0,24,29,NORTH LAWNDALE,RT-4,60623,8/1/2018,1151383.24,1892491.271,41.8608782,-87.7197855,"(41.86087823877409, -87.71978549985836)"
66549,16-23-217-009-0000,1433 S TRUMBULL AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153701.99,1892716.62,41.8614508,-87.7112678,"(41.86145083630039, -87.71126783114242)"
13129,16-23-317-005-0000,2111 S PULASKI RD,None,Owned by City,,,0,24,29,NORTH LAWNDALE,B3-2,60623,3/5/2019,1150136.774,1889615.761,41.8530118,-87.7244359,"(41.85301184253619, -87.7244358911837)"
66550,16-23-217-015-0000,1449 S TRUMBULL AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153706.776,1892549.994,41.8609935,-87.7112547,"(41.86099350096643, -87.71125469335965)"
22922,25-24-216-036-0000,11728 S HOXIE AVE,DPD - Open Space,Owned by City,,,0,,,,,0,5/22/2018,0,0,0,0,"(0.0, 0.0)"
50917,16-23-409-014-0000,1810 S TRUMBULL AVE,None,Owned by City,9/29/1982,,0,24,29,NORTH LAWNDALE,RT-4,60623,4/3/2019,1153559.511,1891015.045,41.8567844,-87.7118361,"(41.85678435144671, -87.71183605941293)"
58468,16-23-115-014-0000,1427 S HARDING AVE,None,Owned by City,4/14/1972,,0,24,29,NORTH LAWNDALE,RT-4,60623,8/1/2018,1150376.665,1892777.57,41.8616836,-87.723473,"(41.86168355690045, -87.72347297661285)"
58648,16-23-117-008-0000,1423 S AVERS AVE,None,Owned by City,2/6/1976,,0,24,29,NORTH LAWNDALE,RT-4,60623,8/1/2018,1151041.21,1892832.97,41.8618226,-87.7210321,"(41.86182260210682, -87.72103207855557)"
58456,16-23-120-027-0000,1446 S MILLARD AVE,None,Owned by City,1/29/1975,,0,24,29,NORTH LAWNDALE,RT-4,60623,8/1/2018,1152128.572,1892557.038,41.8610441,-87.7170478,"(41.86104406339604, -87.71704779574718)"
51214,20-29-423-025-0000,7754 S HALSTED ST,2FM,Owned by City,7/31/1992,,0,17,71,AUBURN GRESHAM,B3-1,0,9/30/2020,1172218.641,1853217.86,41.7526739,-87.6444591,"(41.75267394408969, -87.64445907290974)"
61832,16-23-226-014-0000,1539 S HOMAN AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1154051.965,1892082.78,41.8597045,-87.71,"(41.85970454316771, -87.71000002386258)"
66512,16-23-225-021-0000,1500 S HOMAN AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153850.426,1892455.498,41.8607313,-87.7107299,"(41.860731334081905, -87.71072989686874)"
61719,16-23-418-053-0000,1952 S HOMAN AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153934.543,1889930.955,41.853802,-87.7104883,"(41.85380202615886, -87.71048834558653)"
66504,16-23-214-025-0000,1438 S DRAKE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1152848.065,1892657.38,41.8613052,-87.714404,"(41.861305210946924, -87.71440401704996)"
66645,16-23-215-015-0000,1437 S DRAKE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153038.129,1892698.79,41.8614151,-87.7137052,"(41.86141508086594, -87.71370522785264)"
61723,16-23-318-006-0000,1925 S HARDING AVE,None,Owned by City,,,12668,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1150466.615,1890031.549,41.8541464,-87.7232144,"(41.85414639165197, -87.7232144139608)"
58534,16-23-126-030-0000,1544 S RIDGEWAY AVE,None,Owned by City,4/2/1970,,0,24,29,NORTH LAWNDALE,RT-4,60623,8/1/2018,1151539.479,1891953.101,41.8593984,-87.7192261,"(41.85939837144091, -87.71922610371477)"
66545,16-23-215-013-0000,1437 S DRAKE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153038.129,1892698.79,41.8614151,-87.7137052,"(41.86141508086594, -87.71370522785264)"
58465,16-23-121-020-0000,1423 S MILLARD AVE,None,Owned by City,4/8/1972,,0,24,29,NORTH LAWNDALE,RT-4,60623,8/1/2018,1152371.996,1892761.559,41.8616005,-87.7161488,"(41.86160049474909, -87.71614883408019)"
50851,16-23-400-027-0000,1809 S CENTRAL PARK AVE,None,Owned by City,7/21/1980,,0,24,29,NORTH LAWNDALE,RT-4,60623,4/3/2019,1152754.147,1891016.22,41.8568035,-87.7147922,"(41.85680353484311, -87.71479217453418)"
19148,20-29-423-026-0000,7728 S HALSTED ST,2FM,Owned by City,3/31/1995,,0,17,71,AUBURN GRESHAM,B3-1,0,9/30/2020,1172211.135,1853499.01,41.7534456,-87.6444783,"(41.753445621674416, -87.64447833164296)"
58625,16-23-123-018-0000,1500 S SPRINGFIELD AVE,None,Owned by City,1/14/1986,,0,24,29,NORTH LAWNDALE,RT-4,60623,8/1/2018,1150530.194,1892363.898,41.8605454,-87.7229202,"(41.86054539989155, -87.7229201902416)"
14997,20-04-406-047-0000,4358 S SHIELDS AVE,None,Owned by City,,,0,3,37,FULLER PARK,RS-3,60609,5/22/2018,1174616.755,1875829.3,41.8146692,-87.634998,"(41.81466915102437, -87.63499802866377)"
23105,25-25-201-012-0000,12227 S LUELLA AVE,,Owned by City,,,0,,,,,0,5/22/2018,0,0,0,0,"(0.0, 0.0)"
66511,16-23-224-039-0000,1550 S TRUMBULL AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153533.77,1891933.254,41.8593045,-87.7119062,"(41.85930453501641, -87.71190615366216)"
61747,16-23-400-080-0000,1832 S DRAKE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1152901.767,1890777.004,41.8561442,-87.7142567,"(41.85614417989156, -87.71425665654037)"
51287,20-29-431-018-0000,7812 S HALSTED ST,2FM,Owned by City,7/16/1974,,0,17,71,AUBURN GRESHAM,B3-1,60620,5/16/2019,1172225.36,1852965.93,41.7519825,-87.6444418,"(41.75198246800828, -87.64444184304344)"
66663,16-23-306-012-0000,1641 S LAWNDALE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1152071.334,1891352.885,41.8577409,-87.7172896,"(41.85774085405799, -87.71728962113757)"
62132,16-23-216-013-0000,1443 S ST LOUIS AVE,None,Owned by City,8/20/1992,,,24,29,NORTH LAWNDALE,RT-4,,6/28/2019,1153373.695,1892598.49,41.8611332,-87.7124761,"(41.86113319599437, -87.71247608393429)"
15008,20-04-415-015-0000,4465 S SHIELDS AVE,None,Owned by City,7/10/1974,,0,3,37,FULLER PARK,RS-3,60609,2/28/2019,1174818.992,1875115.205,41.8127051,-87.6342775,"(41.812705095525395, -87.63427751340005)"
35501,16-23-317-004-0000,2109 S PULASKI RD,None,Owned by City,,,0,24,29,NORTH LAWNDALE,B3-2,60623,3/5/2019,1150136.094,1889640.751,41.8530804,-87.7244377,"(41.85308043142544, -87.72443773640826)"
66547,16-23-215-028-0000,1442 S ST LOUIS AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153182.9,1892584.4,41.8610983,-87.7131768,"(41.861098314585504, -87.71317683047378)"
66546,16-23-215-016-0000,1441 S DRAKE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153040.216,1892623.973,41.8612097,-87.7136995,"(41.86120973455778, -87.71369954939937)"
36569,20-04-415-013-0000,4461 S SHIELDS AVE,None,Owned by City,,,0,3,37,FULLER PARK,RS-3,60609,5/22/2018,1174817.592,1875162.695,41.8128354,-87.6342812,"(41.812835443631805, -87.63428123020171)"
13130,16-23-317-010-0000,2123 S PULASKI RD,None,Owned by City,3/12/2012,,0,24,29,NORTH LAWNDALE,B3-2,60623,3/5/2019,1150140.184,1889490.811,41.8526689,-87.7244266,"(41.85266889794246, -87.72442662729887)"
61746,16-23-400-082-0000,1836 S DRAKE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1152903.205,1890727.03,41.856007,-87.7142527,"(41.856007015074226, -87.71425269951104)"
66652,16-23-402-023-0000,1606 S TRUMBULL AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153539.58,1891728.32,41.8587421,-87.7118903,"(41.85874205601941, -87.71189027052752)"
66502,16-23-129-004-0000,1511 S MILLARD AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1152384.65,1892321.62,41.860393,-87.716114,"(41.86039300075146, -87.71611399353488)"
66642,16-23-128-017-0000,1504 S MILLARD AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1152190.96,1892417.35,41.8606595,-87.7168225,"(41.86065951378638, -87.71682246428874)"
51171,20-29-423-030-0000,7720 S HALSTED ST,2FM,Owned by City,12/31/2003,,0,17,71,AUBURN GRESHAM,B3-1,0,9/30/2020,1172207.339,1853641.372,41.7538364,-87.6444881,"(41.7538363637665, -87.6444880636334)"
15000,20-04-407-012-0000,4365 S SHIELDS AVE,None,Owned by City,,,0,3,37,FULLER PARK,RS-3,60609,5/22/2018,1174799.25,1875781.99,41.8145353,-87.63433,"(41.814535256671896, -87.6343300317116)"
61753,16-23-312-035-0000,1822 S RIDGEWAY AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1151566.82,1890846.31,41.8563607,-87.7191548,"(41.856360670243475, -87.71915480490314)"
16098,20-02-102-009-0000,3977 S DREXEL BLVD,None,Owned by City,1/6/1986,,0,4,36,OAKLAND,B3-3,60653,8/1/2018,1182673.54,1878621.47,41.8221476,-87.6053583,"(41.82214760257383, -87.60535826115787)"
66649,16-23-223-003-0000,1505 S DRAKE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153047.775,1892361.52,41.8604894,-87.7136788,"(41.860489384668554, -87.71367875505649)"
66506,16-23-215-018-0000,1445 S DRAKE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153041.998,1892564.05,41.8610453,-87.7136946,"(41.861045263333196, -87.71369459404241)"
58387,16-23-124-018-0000,1524 S AVERS AVE,None,Owned by City,2/26/1973,,0,24,29,NORTH LAWNDALE,RT-4,60623,8/1/2018,1150870.295,1892138.33,41.8599198,-87.7216777,"(41.859919772200016, -87.72167765241511)"
62360,20-04-402-018-0000,4318 S WELLS ST,None,Owned by City,,,0,3,37,FULLER PARK,RS-3,60609,4/3/2019,1175241.027,1876227.875,41.8157489,-87.6326962,"(41.81574893404042, -87.6326962167925)"
66647,16-23-217-010-0000,1435 S TRUMBULL AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153702.715,1892691.63,41.8613822,-87.7112658,"(41.86138224722738, -87.71126583476439)"
58816,16-23-121-018-0000,1447 S MILLARD AVE,None,Owned by City,7/24/1981,,0,24,29,NORTH LAWNDALE,RT-4,60623,8/1/2018,1152378.836,1892523.935,41.8609483,-87.71613,"(41.86094829092144, -87.71612999790932)"
50661,20-04-415-032-0000,4466 S PRINCETON AVE,None,Owned by City,11/1/1996,,0,3,37,FULLER PARK,RS-3,60609,4/3/2019,1174950.346,1875096.369,41.8126505,-87.6337963,"(41.812650474029404, -87.6337962680339)"
66552,16-23-224-040-0000,1554 S TRUMBULL AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,B3-2,60623,6/28/2019,1153535.172,1891884.254,41.85917,-87.7119023,"(41.85917004445406, -87.7119023065213)"
15001,20-04-407-043-0000,4345 S SHIELDS AVE,None,Owned by City,,,0,3,37,FULLER PARK,RS-3,60609,8/1/2018,1174792.821,1875998.395,41.8151292,-87.6343472,"(41.81512923506566, -87.63434715562094)"
61749,16-23-309-010-0000,1825 S HARDING AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1150445.26,1890786.19,41.8562176,-87.7232731,"(41.85621763427079, -87.72327311553262)"
50856,16-23-120-007-0000,3637 W DOUGLAS BLVD,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,8/1/2018,1152206.74,1892917.355,41.8620313,-87.7167514,"(41.862031275639204, -87.71675135649778)"
14797,20-04-222-018-0000,4215 S PRINCETON AVE,None,Owned by City,,,0,3,37,FULLER PARK,RS-3,60609,8/1/2018,1175085.62,1876989.53,41.8178425,-87.6332435,"(41.817842459595205, -87.63324351146589)"
63368,20-04-222-016-0000,4211 S PRINCETON AVE,None,Owned by City,,,0,3,37,FULLER PARK,RS-3,60609,4/3/2019,1175084.22,1877037.5,41.8179741,-87.6332472,"(41.817974124898406, -87.63324721313022)"
61754,16-23-309-008-0000,1819 S HARDING AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1150443.52,1890848.27,41.856388,-87.7232779,"(41.85638802357919, -87.7232778835562)"
61745,16-23-400-037-0000,1837 S CENTRAL PARK AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1152762.51,1890723.7,41.8560007,-87.7147692,"(41.856000660576484, -87.71476921299441)"
66662,16-23-223-002-0000,1503 S DRAKE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1153047.057,1892386.495,41.8605579,-87.7136807,"(41.860557932636176, -87.71368072959434)"
66514,16-23-306-015-0000,1649 S LAWNDALE AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1152073.72,1891268.91,41.8575104,-87.7172831,"(41.857510369690125, -87.71728307509822)"
61742,16-23-400-041-0000,1849 S CENTRAL PARK AVE,None,Owned by City,,,0,24,29,NORTH LAWNDALE,RT-4,60623,6/28/2019,1152765.37,1890623.73,41.8557263,-87.7147614,"(41.85572627464143, -87.71476135877872)"
62197,20-04-416-007-0000,4445 S PRINCETON AVE,None,Owned by City,,,0,3,37,FULLER PARK,RS-3,60609,4/3/2019,1175129.39,1875314.83,41.813246,-87.633133,"(41.813245951328305, -87.63313300875765)"
14016,16-23-425-011-0000,2127 S HOMAN AVE,None,Owned by City,,,0,24,30,SOUTH LAWNDALE,RT-4,60623,3/5/2019,1154123.96,1889546.01,41.8527419,-87.7098034,"(41.85274192049506, -87.70980337018186)"
58672,16-23-117-007-0000,1421 S AVERS AVE,None,Owned by City,9/20/1976,,0,24,29,NORTH LAWNDALE,RT-4,60623,8/1/2018,1151040.48,1892857.98,41.8618912,-87.7210341,"(41.8618912469338, -87.72103410512435)"
